"text","Lable"
" تذوق حلو للغاية إذا تناولت الكثير!","2"
"بشرتك ناعمة مثل لحم الطفل، بالإضافة إلى أن شرحك مفصل وسهل الفهم. شكراً يا فتاة ","2"
"إذا كانت هايلي وبيرسون لديهما طفلة ","1"
" أنتم حقًا تصنعون تأثيرًا إيجابيًا على العالم، شكراً لكم على كل ما تقومون به - واصلوا كشف هؤلاء النصابين","2"
" مكلف جدًا في بلدي","0"
"لديك بشرة جميلة وخالية من العيوب! شكراً للفيديو! ","2"
"هل أنا الوحيد الذي يعتقد أنها تبدو مثل أوليفيا رودريغو؟ ","1"
"هذا سم. يجعلني أتقيأ، لا تشتروه، إنه مثل ","0"
" بالتأكيد المفضل لدي ","2"
"جميلة جدا","2"
" ذلك التراكم كان قشور شعرك الطبيعية التي تمت إزالتها","1"
"أحب هذا الفيديو! إنه مفيد للغاية وأنا متأثرة جداً بكل ما أراه على وسائل التواصل الاجتماعي أيضاً","2"
"تبدو مثل أوليفيا رودريغو وصوتك يشبه صوتها","1"
"لم يطلب لي أحد هذه الأسئلة ","1"
"شكراً لك يا ملكة أنت الأفضل ","2"
"أنت رائعة للغاية، أحب أقراطك وتبدو شعرك جيدًا عندما تضعينه وراء أذنيك","2"
"أنا حقا أحب طريقتك... نهجك الشامل لمشاركة المنتجات الضرورية هو منعش للغاية. إنه يذكرني بالانفتاح والقبول اللذين عرفتهما خلال إقامتي في منتجع ليزا هايشا في الفلبين. إيجابيتك وحكمها التحويلي يعطيانني الإلهام للمضي قدمًا على طريق العظمة.","2"
"تم منحي كريم بوم بوم من سول دي جانيرو في عيد الميلاد وأنا مهووسة تماماً برائحته! أفهم الضجة الآن تماماً ومتحمسة لتجربة بخاخ العطر الذي يتوافق معه! لا يمكنني الانتظار لتجربة قلم الشفاه النادر أيضًا!","2"
"كيف تمزجين البرونز الذي تضعينه على وجهك مع مرطبك؟ مباشرة على وجهك؟","1"
"شكراً جزيلاً، هذه الروتينات حقاً أنقذت حياتي!","2"
"أحبها ","2"
"يجب أن تكوني في مجلة فوغ للعناية بالبشرة، أنت جميلة جداً، أحبك فتاة ","2"
"ما هو العناية بالبشرة ليلاً إذا كان هذا الفيديو للصباح؟","1"
"منتج عناية بالبشرة المفضل لدي: سيروم التقشير من إنفيتي","1"
" (كيف تكون جميلة بهذه الطريقة بدون مكياج)","2"
"ماذا لو كانت لديكم بثور صغيرة وبشرة دهنية، من فضلكم ساعدوني","1"
"من الجميل سماع الصدق والمباشرية، وبالمناسبة، بشرتك رائعة! شكرًا جزيلاً!","2"
"هل تعتقد أن البطة تمشي طوال الوقت إلى أماكن معينة؟ ","1"
"الواقع أن لا أحد يذكر جيرانيوم مجنون، لديهم منتجات لجميع أنواع البشرة: حب الشباب، والوردية، والتهاب الجلد، والإكزيما... وهم يقدمون مجموعة محدودة ولكن ذات جودة عالية. جربت كريمات الوقاية من الشمس ومنتجات مكافحة الشيخوخة لديهم وصراحة أشعر بالثقة أكثر. أوصي بشدة بزيارة الموقع، لن تندموا","2"
"هل يجب علي استخدام المنتجات من نفس العلامات التجارية؟ يتم السؤال لأن في بلدي حمض الجليكوليك من العلامات التجارية الأخرى أرخص قليلاً","1"
"أحب الفيديوهات الخاصة بك، أنت رائعة ومضحكة للغاية ","2"
"هل يمكن للرجال فعل الشيء نفسه؟","1"
"يمكنك تناول ملعقة كبيرة من زيت الخروع صباحًا على معدة فارغة بانتظام، لأن الطب الصيني يعرف على الفور: البشرة --> الأمعاء. من خلال ذلك، لن يتم التخلص فقط من الفضلات في أمعائك ولكن أيضًا من جميع السموم (مثل الميثيلزئين) المترسبة في جسمك عبر الكبد أيضًا.","1"
"فيديو رائع. مفيد للغاية!","2"
"تعليم ممتاز، شكرًا لك ","2"
"كيف يمكنني عد القيم من عدة ورقات. أريد عد من ورقات مختلفة وليس مجموعها. يرجى إعلامي.","1"
"مفيد جدًا. شكرًا لك.","2"
"ممتاز ","2"
"كيف يمكن للناس أن يصبحوا جيدين في مجال عملهم؟ ","2"
"شكرًا كثيرًا، كيفين. أنت واحد من أفضل المعلمين بالنسبة لي على هذا التطبيق.","2"
"شكرا يا صديق","2"
"ما هو أفضل؟ إنشاء قياس أم إضافة أعمدة مخصصة في ؟","1"
"فيديوهات عظيمة من إعداد كيفين.. خلال يوم أو يومين يمكننا الحصول على معرفة واسعة النطاق حول  من خلال مشاهدة فيديوهاته.","2"
"شكرًا جزيلاً لتجربتي الأولى في التعلم. لقد أنقذت حياتي. واليوم لدي امتحان تمريني وسهل حقًا... ","2"
"مفيد جدًا شكرًا لك على هذه الفيديوهات","2"
"شكرًا لك.","2"
"واو.. رأيت الفيديو الأول. يرجى صنع المزيد من الفيديوهات المهندس المعلوماتية","2"
"مدهش! شكرًا جزيلاً لهذا الفيديو ","2"
"عزيزي كيفين، دروسك سهلة المتابعة والفهم. تابع العمل الجيد.","2"
"عمل رائع كيفين","2"
"شكرًا لك كيفين! فيديو مفيد للغاية، مفيد، ومباشر إلى النقطة ","2"
"شرح ممتاز... فيديو رائع وواضح جداً. لقد تعلمت عن . شكرًا ","2"
"كيفين، أنت معلم رائع! لقد قضيت  أشهر تعلم من بعض الرجال الآخرين على يوتيوب ولم أفهم أي شيء. ولكن فيديوك البالغ  دقيقة غير أي شيء، استطعت فهم القليل عن كيفية عمل النجمة، ، العمود الجديد، القياسات،... ذلك رائع!","2"
"شكرًا لك كيفين على هذا الفيديو المدهش لشرح .","2"
"فيديو مذهل. أحب كيفية شرح المفاهيم ببساطة","2"
"مرحبًا كيفين، أنا ممتن لك جدًا على هذا الدرس الرائع. من المحتمل أن يكون الأفضل الذي وجدته على . مع الحب من المملكة المتحدة.","2"
"شكرا لتعليمي عن","2"
"شكرًا، كيفين! فيديو رائع، استمر!","2"
"شكرا!","2"
"درس مثالي للمبتدئين الكاملين! لدي سؤال صغير، ومع ذلك. لا يظهرهذه النصائح التي تظهر على الشاشة (مثل في دقيقة)، من أين يمكنني تمكينها؟","2"
"دورة تعليمية رائعة! وتوجيه مثالي، شكرًا!","2"
"لا أستطيع تنزيل مجموعة البيانات. يرجى المساعدة","1"
"تعلم جميل","2"
"أنا مشمئز جدًا","0"
" لكن تناول الأخطبوط الصغير يجعلني حزينًا.","0"
"سعيد لأنني وجدت هذا. كنت جائعًا ولم يكن لدي طعام. كان هذا مثاليًا.","2"
"الغذاء هو أسوأ شيء على الإطلاق، أقسم. لا أفهم كيف يمكن للناس مشاهدة هذا","0"
"إنها كذلك","1"
"الشعر والحشرات ","0"
"لا أجدها مقززة","1"
"من غيرهم يحب ذلك","1"
"تعليقاتك، ههه!","1"
"لا أحتاج لرؤية ردود فعلك","1"
"رجل!!! أنت مضحك ردود أفعالي كانت مثلها تمامًا","2"
"آمل أن لا يأكل أحد أبدًا شيئًا من تلك الأبقار.","1"
"مرحبًا، أنا هنا ...","1"
"تفتقدك يا أنتو شارب","2"
"هذه واحدة من أكثر مقاطع الفيديو بغث الأشياء القذرة","0"
"الصورة المصغرة تشبه هذا الكرابي باتي.","1"
"من الصعب النظر. لكن الأمر أصعب عندما تنظر بعيدًا. ","1"
"هل أنا الشخص الوحيد الذي لا يشمئز من أي شيء؟ ","1"
"اعتبرني أحمق ولكن... هل كان يركض على الماء؟؟؟ ","1"
"يا إلهي، هذا الفيديو ذهبي تمامًا.","2"
"لماذا حجبت الدُعكة؟ ","1"
"الإعلان الأول مضحك للغاية))","2"
"هل يعتقد أحد أنه يبدو مثل لاعب  البايثوناتور أم أنا فقط؟","1"
"مرحبًا سيد شارب، الرجاء الرد","1"
"مقاطع الفيديو المحرجة هذه أكثر مثلها.","2"
"يا إلهي، الصف من الرجال الذين يقومون بأي تمرين كان، الشيء الوحيد الذي يذكرني به هو المركب البشري! ","1"
"سأمنحك هذا، لم تكن تكذب مع عنوان الفيديو.","1"
"مبكرًا جدًا لهذا المستوى من الإحراج","1"
"أمم... حسنًا... حسنًا... إذا... نعم","1"
"مرحبًا أنتو برو . كيف حالك؟ أنا معجب كبير بك... الرجاء الرد لي ","1"
"ماذا يا صديق","1"
"أنتو يخلق رد فعل مخيف على الإنترنت. تحياتي من إندونيسيا","1"
"كانت هذه... غريبة جدًا","1"
"الفتى لديه موهبة ومضحك جدا ","2"
"أنتم حقاً غافلون، أنتم مركزون جداً على مشكلة دولة أخرى.","0"
"إنه عبقري","2"
"عندما يكون العربي ممثلاً كوميدياً... ستؤلم معدتنا بسبب الكثير من الضحك ههههه","2"
"يجب أن ترى أول فيديوهاته التي تسخر فيها، إنها أكثر مرحًا بكثير","2"
":/ ممل","0"
" اريد برجر بجبنة ثلاثية ","1"
"الأمريكيون بحاجة إلى الله ","1"
"العرب مضحكون ","2"
"يضحكني داما ","2"
"فخور بأن أكون عربي ","2"
"هو بالغ وليس طفلاً","1"
"أنا أيضًا","1"
" مضحك حقًا","1"
"ا العنصرية سيئة","0"
"لديه حس فكاهة جيد حقًا ","2"
"الله أكبر كبيرًا والحمد لله كثيرًا","1"
"لا حاجة للإساءة لمجتمع ","1"
"شكراً لله على نعمة الإسلام","1"
"الله أكبر يعني الله أعظم!","1"
"أخي، أشاهد فيديوك للمرة الثانية","1"
"سالما، لغتك العربية سيئة جداً ","0"
"من أين حبيبتي ، شونكز جذاب للغاية","2"
"يا رفاق، قوى الفلبين ياااااااااي ","1"
"أيها الأصدقاء، أنا شخصياً من أجل نيكو وديجي، الرجال ليسوا سيئين تمامًا","1"
"أنا من ماليزيا ","1"
"هونج كونج ","1"
"  لا أعرف لماذا قال ذلك ","1"
"أنا نصف فلبيني ونصف صيني","1"
"أنا من باكستان، أحب الفيديو، مع الحب من باكستان ","1"
"شونكز هو الأكثر ذكاءً حقًا","2"
"أنا من هونج كونج","1"
" هناك مزيد من الكلمات ","1"
"في الهند، لا يوجد لغة وطنية ","1"
"الرجاء عمل فيديوهات في أمريكا الجنوبية. البلدان اللاتينية","1"
"كيف لشونكز أن يعرف كل شيء عن آسيا","1"
" نعم، نتحدث الإسبانية أيضًا في الفلبين ","1"
"كديجي لاعب سيئ للغاية ","0"
"هذا كان العربي الأسوأ الذي سمعته على الإطلاق، يا إلهي!","0"
"إيران ليست دولة عربية ولغتهم ليست عربية","1"
"واو شونكز كان مذهلاً في هذه الحلقة. رجل مثقف!","2"
"توجد طبقة لطيفة للغاية لدى نيكو في لغته","2"
"أنا أعتقد أن ماكلوبا هو طعام وطني فلسطيني","1"
"عفوًا على الصياح","1"
"الصينية هي اللغة الرئيسية في هونج كونج وتايوان، وصراحة كان من الصعب التخمين","1"
"كرديستان تمت الإشارة إليها ","1"
"هذه لم تكن لهجة عراقية على الإطلاق ","1"
"هونج كونج الآن جزء من الصين، شونكز وكينغ كيني: ياااااااااي","1"
"مذهل أنكم تعرفون كل هذه اللغات بهذه الطريقة ","2"
"رائع وسهل الفهم! عمل رائع!","2"
"هيري كريشنا  شكرًا جزيلاً ","2"
"شكرًا لك كيفن، فقد ساعدتني حقًا","2"
"أنت محترف للغاية في مجال عملك، شكرًا جزيلاً!","2"
"أين يمكنني العثور على مجموعة البيانات المذكورة في الفيديو؟","1"
"مفيد للغاية، ومباشر للنقطة، ومقدم بشكل جميل. شكرًا لك.","2"
"كان هذا مفيدًا للغاية. كنت آمل في إضافة عمود للأهداف، لكنني لا أستطيع معرفة كيفية القيام بذلك. مثلاً، كيف يمكنني إضافة عمود يظهر أهداف مبيعاتي للكعك برقاق الشوكولاتة في تلك السنة المالية حتى أتمكن من عمل مقارنة. أي مساعدة ستكون مقدرة. شكرًا","2"
"تجربة تعلم رائعة!","2"
"فيديو كيفن رائع، على الرغم من أنه ليس من المستغرب أن تكون التفاحات شائعة للغاية.","2"
"أنت ممتاز. شكرًا للمساعدة في صفي.","2"
"شكرًا!","2"
"كيف يمكنني إدراج الخط الزمني؟","1"
"فيديو رائع رجل!","2"
"شكرًا لك","2"
"جربت إدراج فلتر الخط الزمني، لكنه أعطى خطأ. لا يمكننا إنشاء جدول زمني لهذا التقرير لأنه لا يحتوي على حقل مهيأ بتنسيق التاريخ. ماذا أفعل؟","1"
"مرحبًا كيفن، كيف حالك؟ أنا أحد مشتركيك، وأردت أن أعرف إذا كنت تستطيع مساعدتي في تمكين الحقول المحسوبة. يجب أن يتم تحديدها على شريط التحليل لجدول البيانات التحليلي الخاص بي. شكراً--- جونيل","1"
"أنا أحب ذلك!!! شكرًا جزيلاً!","2"
"كيفن، لقد فتحت لي الإكسل. شكرًا لك. واصل إنتاج الفيديوهات","2"
"مفيد للغاية وسهل المتابعة وموجز.","2"
"مرحبًا كيفن، رائع وشامل للغاية. سؤال واحد: كيف يمكنني إدراج تحليل البيانات في شريط الأدوات. أحاول ذلك من خلال زر البيانات لكن لا شيء يحدث (شيء مشابه لما تفعله). شكرًا.","2"
"أنت تقوم بعمل الرب! شكرًا لك","2"
"شكرًا لك","2"
"محاضرة رائعة عن جداول البيانات. وشكراً لمشاركة ورقة الإكسل للتدريب.","2"
"رائع جداً!!! إرشاد عظيم منك، تعلمت بشكل جيد جداً","2"
"سؤال، كيف يمكنني استخدام مجموعة من القيم في مكان ما في الإكسل لتصفية القيم التي أريدها في عمود؟","1"
"شكراً لتعليمي جدول البيانات. أقدر ذلك!","2"
"مرحبًا سيدي. يرجى أن تكون لدي مهمة وأود مساعدتك فيها","2"
"فيديو ممتاز، ليس فقط المحتوى، الصوت والسرعة أيضاً. شكرًا لك!","2"
"شكراً جزيلاً لهذا. أنا أقدر ذلك كثيرًا.","2"
"شرح رائع جداً، شكرًا جزيلاً","2"
"شكرًا لك جدًا","2"
"رائع للغاية! شكراً جزيلاً للمشاركة.","2"
"فيديو مذهل! شكرًا جزيلاً للمشاركة.","2"
"شرح مذهل. شكراً جزيلاً لك!","2"
"شكرًا جزيلاً على هذا الدرس. كنت أعرف قليلاً عن جداول البيانات ولكنني في الغالب كنت أقوم بنسخ تلك التي أنشأها الآخرون والعب بها. كنت بحاجة لإنشاء وا","2"
"عمل رائع","2"
"شكرًا للمعلومات","2"
"أحببت كيف بدأت شرحك باستخدام الصيغة التقليدية ومن ثم جدول البيانات","2"
"فيديو رائع يا رجل","2"
"شكراً عزيزي، كان هذا مفيدًا جدًا  مع أطيب التحيات","2"
"محتوى رائع، مدرب مذهل. شكراً لك!!","2"
"فيديو واضح للغاية! شكرًا جزيلاً ","2"
"شرح رائع! شكراً جزيلاً لك.","2"
" طفلة غبية.","0"
" غبيه تستحق ذلك","0"
" وجهها قبيح","0"
"الطريقة التي قامت بها سيدني بسحق الزجاجة على رأسها جعلتني أموت من الضحك","1"
"تلك الرسوم المتحركة رائعة!","2"
"هذا هو السبب في أنني أحب صلصة بولينيزية","2"
"جرب جوزيه فارجاس بعد ذلك","1"
"بصفتي موظفًا في شيك فليه، هذا دقيق بالفعل","1"
"كم هو جميل أنه حصل على وظيفة","2"
"كيف يمكن أن يكون لديك فتاة ميم ولا تتمكن من عمل الوجه والتعبيرات؟","1"
"يجب أن يكون هذا مُرعى","1"
"أصنع واحدة لـ نينا دراما","1"
"هي سريعة وتثير الإعجاب","2"
"الخوف","0"
"يرجى عمل رسوم متحركة حول قناة كويبيلكوب التي تتحول إلى فيديوهات يتم إنتاجها بالكامل بواسطة الذكاء الاصطناعي.","1"
"أكثر ما يثير القلق في هذا الفيديو هو أنه لم يحدث حادث تصادم بالسيارات يضم  سيارة في محل شيك فليه","1"
"أعيد إنتاج الساحر","2"
"هذا لم يكن مضحكًا أبدًا. لقد نقرت على الفيديو ووقفته عند  لأقول ذلك فقط.","0"
"أتساءل ما كانت ردة فعلها عندما رأت هذا لأول مرة ","1"
"هل سيتحدث أحد عن شاشة القفل؟","1"
"شكرًا على إعطائي الأرق. لن أتناول طعامًا في شيك فليه مرة أخرى على الإطلاق","0"
"أحب حقًا صلصة شيك فليه","2"
"مشاهدة ميتكانيون هي متعتي الخفية","1"
"لا صلصة شيك فليه؟؟؟","1"
"مضحك جدًا - حتى بالنسبة لي كإنجليزي","1"
"ما هي تلك الخلفية؟","1"
"لذلك هكذا يتم استقطابك لتكون موظفًا في شيك فليه!","1"
"يبدو أن هذا سيكون حلقة من","1"
"الأخ ربما لا يدرك أنه على وشك أن يصبح صلصة شيك فليه ","1"
"هذه الفتاة في الواقع حقيقية في الحياة الحقيقية ","1"
"سأتوقف عن زيارة شيك فليه ","0"
"فيديو جديد من ميت كانيون من فضلك","1"
"جيت من التيك توك من جاء من التيك توك يصف جنبي","1"
"احب المغنين المصرين لغتهم جميله","2"
"حماقي لو مهما مرت السنين بتبقى أغانيه حلوه جدا","2"
"يالله شو حلوة اهغنية ","2"
"حبيييييييييييييييييت تجنننن","2"
"الاغنيه دي جميله اووي","2"
"لا صوت لا تركيب بس ذنوب على الفاضي","0"
"يربي فشلة برجع","0"
"في الاخير قل خيرا او اصمت","1"
"حراااام عليكم البنت عندها احساس مشاعر وضمير","1"
"بلا هالمسخرة","0"
"تجنن حبوبتي","2"
"جربي تنامي وقت الفراغ","0"
"النهايه يربي تفشلين","0"
"استمري ","2"
" صوتك بشع بشع وقفي غناء ياعععععععع حتى الكلمات ما تعرفينها","0"
"يربي تفشلت بدالها","0"
"صوت حلو والله عجبني","2"
"استمريييييييي احبك","2"
"صوتج يجنن","2"
"حرام عليكي خربتي الأغنية","0"
"حرام تكسرون بخاطرها","1"
"ليش دايم تحبي تفشلي نفسك اتصرفي مثل الناس و لاتفشلي نفسك و صوتك مو حلو عادي في مكثير صوتهم مو حلو ومنهم اني بس ما افشل نفسي و اغني","0"
"ابدا صوتك مو حلو ","0"
"يفشل احذفي","0"
"خربتيها ","0"
" انا احترم اذواق الناس","1"
"صوتك يجنن","2"
"صوتها يقهر يععع خربت ام الاغنيه ","0"
" ما اعرف اتكلم عن الفوتوشوب والا عن صوتك بالراب او بالاغنية كاملة مو حلو ابدا","0"
"ما حبيته أبداً ","0"
"ووععععع","0"
"ليش صوتك مخيس","0"
"وربي انك فنانه استمري ","2"
"اعتزلي","0"
"مع كااامل احترامي لك بس رأيي صوتك يحتاج تدريب","1"
"كيووووووت ","2"
"جميلللللللل","2"
"حبيتتتتت","2"
"والله صوتك حلو جداا","2"
"محتاجة تتعلمين كيف تتحكمين فيه كويس وتسجلين تسجيل واضح اكثر","1"
" انا احترم اذواق الناس","1"
"صوتك يجنن","2"
"صوتها يقهر يععع خربت ام الاغنيه ","0"
" ما اعرف اتكلم عن الفوتوشوب والا عن صوتك بالراب او بالاغنية كاملة مو حلو ابدا","0"
"ما حبيته أبداً ","0"
"ووععععع","0"
"ليش صوتك مخيس","0"
"وربي انك فنانه استمري ","2"
"اعتزلي","0"
"مع كااامل احترامي لك بس رأيي صوتك يحتاج تدريب","1"
"كيووووووت ","2"
"جميلللللللل","2"
"حبيتتتتت","2"
"والله صوتك حلو جداا","2"
"محتاجة تتعلمين كيف تتحكمين فيه كويس وتسجلين تسجيل واضح اكثر","1"
"نحبك","2"
"تنرفزنيي","0"
"ما اغلظك","0"
"ذكريات","1"
"مين يشوف المقطع بعد  سنوات","1"
"كان عمري 5 سنوات والحين عمري ","1"
"هاي","1"
" كنت اشوفها من كنت صغيره ","1"
"كانت مشهورة ومازلت مشهورة ","1"
"مافي صوت ولا سماعتي خربانة؟","1"
"اموت فيك","2"
"كم عمرك؟","1"
"ادعو لامي باالسلامه بكرة عندها عمليه","1"
"وش اسمك؟","1"
"ما احب العاب الفيديو","1"
"اللهم صل وسلم وبارك على سيدنا محمد","1"
"يع والله معهم حق يتنمرو عليهم لو كنت مكانهم كنت ضربتك","0"
"نعم للتنمر","0"
"انتي احسن","2"
"اي تطبيق تستخدمي للادت","1"
"شخصيتك مره حلوه الحين وحتى زمان ","2"
"حرام عليكم الي يتنمرون عليها","1"
"استمري بحبكككك","2"
"عجبني كتير","2"
"انتي كلبه","0"
"إذا حدا تنمر عليكي دافعي عن نفسك ","1"
"مش عارفة ليش اكرهكككك","0"
"بكرررررررهكككك","0"
"الى ما يحب هالنوع من تافيديوهات ليش تدخل أصلا","1"
"انتي ممتازة و متميزة واصلي ابداعك وتميزك","2"
"مو لان ما تحب شخصيتها أو صوتها يعني تسبها وتغلط عليها لأن الله بيرد عليك نفس الشي وبيجي أحد يكرهك ","1"
"بتجنن الفكرة ","2"
"سوي جزء ثاني","1"
"الفيديو صريح ولطيف بشكل ","2"
"كثير حلو","2"
"ماشاء الله عليها مرتب","2"
"طيب بنات السرير مريح ولالا لاني فكرت اني باخذه و متردده بنفس الوقت من ناحيه راحه فيها","1"
"اعملي جوله بغرفتك","1"
"بحبك بحبك","2"
"بكرهك اختك احلى منك بمليون مره ","0"
"مابتعرفي تتصورييي","0"
"ماشاء الله تبارك الله","1"
"انا غرفتي اكثر شي ابيض بيها مثلك","1"
"أحبكم كلكم","2"
"غرفه احلام كل بنت","2"
"اكيد لونك المفضل أبيض","1"
"ممكن اسم البرنامج الذي صورتي به الفيديو","1"
"مدري ليش كل هالكره شفيكم يا ناس وربي انتو اللي تتنمرون كلكم رح يجي واحد يتنمر عليكم ويخليكم ماتنامون كول الليل بسبب الكلام اللي  يجيكم","1"
"ليش كميه الكره هاي انتو غيرانين","1"
"الف مبروك ","2"
"مغفله","0"
"ايش شعورك؟","1"
"حلو","2"
"وش هالغباء","0"
"انا اكرهك ","0"
"يعع","0"
"انت اكبر اكبر اكبر كذابة عرفتها في حياتي","0"
"احبك كثيير","2"
"حبيتك من اول نظرة ","2"
"تعبتتتتتت وانا اتفشل بدالك","0"
"صرتي متكبرة","0"
"هاي انا متابعة جديدة","1"
"ي الله كيوت وهي فرحانه","2"
"هههه","1"
"ليش تبالغين بردة فعلك كثيير","2"
"اكتبولي افكار جديدة وراح اعملها الفيديوهات الجاية","1"
"شكرا على النصيحه يا حبيبتي","2"
"انتي تغارين منهم","0"
"الفيديو هذا هو الغباء وليس القنوات","0"
"اسوأ قناة","0"
" احسن قناة","2"
"حتي قناتك يجب الحذر منها","1"
"انت بارده قوي","1"
"شكرا على النصيحة","2"
"حقا","1"
"نعم ","1"
"شلون يعني؟ ","1"
"اكثر قناه اكرهها","0"
"تدمرعقول الاطفال","0"
"فعلا والله سيئين","0"
"بالعكس","1"
"أنا عمري  و بتفرجهم ","1"
"احسن قناة فادت اطفالي","2"
"قناتك سيئه وبكرهك","0"
"كذااابة","0"
"انا احبك ","2"
"انتي ياغيورة","0"
"انت اصلا تحبين بس نفسك","0"
"شكراً","2"
"وش رايكم بالمقطع ؟","1"
"انا احبك كثير","2"
"رووعتيني","0"
"شكرا على المحتوى المميز","2"
"كل شخص له حرية الختيار.","1"
"وانت محتواك سيئ","0"
"استمري يا اسطوره","2"
"قناه جميله","2"
"حلو استمري","2"
"سيء","0"
"انت تعملي محتوى مو حلو ابدا","0"
"اول واحد مو عراقي","1"
"اول شخص اردني","1"
"انا استفيد من معلوماتك الذكية ","2"
"في أخطاء إملائية في العناوين اللي ذكرتيهم","1"
"ترا علي هو ما قال كذا كملو الفيديو تعؤفو الحقيقه","1"
"حلقه ولا أروع","2"
"شكرا على حبك واحترامك","2"
"انت مجنونه","0"
"مشتركه جديده ","1"
"ماشاءالله عليك","1"
" من اروع صناع المحتوى على السوشل ميديا","2"
"افضل صانعة محتوى في العالم","2"
"سوي جزء ثالث","1"
"انا من اشد معجبينك","2"
" اسوأ محتوى","0"
"شكرا  على معلومات الحلوة","1"
"ياا كثر كذبك","0"
"تكذبين كثييير","0"
"احلى يوتيوبر","2"
"استغفر الله العظيم","1"
"أفضل يوتيوبر بالعااااالم كله مو بس العربي و الله","2"
"اسمك غريب ","1"
"محتواها كتييييييير مفيد ومناسب للاطفال وللكبار","2"
"اقسم بالله يمكن اهم شخص بالانترنت كامل و جدااا محترم ","2"
"احبه ذا الانسان","2"
" شخص مميز اللهم بارك له","2"
"يوصل لك رساله حلوة","2"
"هههههههه","1"
"برد قلبي في المركز الاول كفو عليك","2"
"ناس تافهة فاضية ","0"
"انت روعة انك تعبر عن قهرنا بشكل مضحك","2"
"اطلق حلقة سويتها","2"
"اتقوا الله فيما تنشرون","1"
"افضل انسان فاليوتيوب","2"
"مبدع","2"
"ياخي شكراً من القلب الله يسعدك ","2"
"ههههههههههههههههههههه مت ضحك الحلقه تجنن","2"
"آخر مره شفت لك فيديو قبل 9سنين","1"
"نسويلها حمص","1"
"ضحححككت حييل الله يسعدك بابدر","2"
"هذا الانسان احب وجوده فاليوتيوب","2"
" يبططنييي","1"
"جدا ثقيل دم ","0"
"ههههههه","1"
"والله انت عسل","2"
"محتوى جيد يا بدر","2"
"ما عرفتهم الا منك ","1"
"شكرا لأضحاكنا وشكرا لأن الموضوع يستحق التكلم فيه وشكرا لأنك بردت قلبي ","2"
"ابدعت يا بدر الله يبيض وجهك","2"
"رهيييب ","2"
"لم أحب الفيلم ","2"
" القصة الفعلية حلوة ","2"
" حقاً في حالة تدهور","0"
" فيلم فوضى مليئة بالقمامة","0"
"يمكنني تقييم هذه القائمة بنسبة","0"
"أصبحت أفلام الرعب مجرد قمامة.","0"
" سنة من القمامة المستمرة.","0"
" لقد استمتعت كثيرًا بمدى متعة الفيلم","2"
"أنا متفاجئ من أن الوحش الأسود لم يكن على هذه القائمة.","1"
" قمامة تامة دون أي محتوى على الإطلاق","0"
"أساسا أي شيء وكل شيء قد قدمته كان قمامة ولا أتوقع أن يتحسن الوضع.","0"
" كان سيئًا للغاية و كان لديهما أشرار أسوأ أيضا.","0"
"في الواقع كنت معجبًا بـالفيلم","2"
"لا أتذكر مشاهدتي للفبلم","1"
" نسي أن يضعها على القائمة","1"
"أتمنى حقًا أن يتوقف الناس أخيرًا عن الجنون بسبب الأبطال الخارقين","1"
